time,sim2real,rid,cid,gid,mode,battery,critical
180.0,0.5,4,-1,-1,1,26.875,False
180.0,0.5,5,300,0,0,41.5,False
180.0,0.5,6,-1,-1,1,34.625,False
183.0,0.5,0,-1,-1,1,25.5,False
183.0,0.5,1,-1,-1,1,28.25,False
183.0,0.5,2,-1,-1,1,37.0,False
183.0,0.5,3,-1,-1,1,35.0,False
183.0,0.5,4,300,0,0,41.875,False
183.0,0.5,5,-1,-1,1,39.0,False
183.0,0.5,6,-1,-1,1,32.125,False
186.0,0.5,0,300,0,0,40.5,False
186.0,0.5,1,-1,-1,1,25.75,False
186.0,0.5,2,-1,-1,1,34.5,False
186.0,0.5,3,-1,-1,1,32.5,False
186.0,0.5,4,-1,-1,1,39.375,False
186.0,0.5,5,-1,-1,1,36.5,False
186.0,0.5,6,-1,-1,1,29.625,False
189.0,0.5,0,-1,-1,1,38.0,False
189.0,0.5,1,300,0,0,40.75,False
189.0,0.5,2,-1,-1,1,32.0,False
189.0,0.5,3,-1,-1,1,30.0,False
189.0,0.5,4,-1,-1,1,36.875,False
189.0,0.5,5,-1,-1,1,34.0,False
189.0,0.5,6,-1,-1,1,27.125,False
192.0,0.5,0,-1,-1,1,35.5,False
192.0,0.5,1,-1,-1,1,38.25,False
192.0,0.5,2,-1,-1,1,29.5,False
192.0,0.5,3,-1,-1,1,27.5,False
192.0,0.5,4,-1,-1,1,34.375,False
192.0,0.5,5,-1,-1,1,31.5,False
192.0,0.5,6,300,0,0,42.125,False
195.0,0.5,0,-1,-1,1,33.0,False
195.0,0.5,1,-1,-1,1,35.75,False
195.0,0.5,2,-1,-1,1,27.0,False
195.0,0.5,3,300,0,0,42.5,False
195.0,0.5,4,-1,-1,1,31.875,False
195.0,0.5,5,-1,-1,1,29.0,False
195.0,0.5,6,-1,-1,1,39.625,False
198.0,0.5,0,-1,-1,1,30.5,False
198.0,0.5,1,-1,-1,1,33.25,False
198.0,0.5,2,300,0,0,42.0,False
198.0,0.5,3,-1,-1,1,40.0,False
198.0,0.5,4,-1,-1,1,29.375,False
198.0,0.5,5,-1,-1,1,26.5,False
198.0,0.5,6,-1,-1,1,37.125,False
201.0,0.5,0,-1,-1,1,28.0,False
201.0,0.5,1,-1,-1,1,30.75,False
201.0,0.5,2,-1,-1,1,39.5,False
201.0,0.5,3,-1,-1,1,37.5,False
201.0,0.5,4,-1,-1,1,26.875,False
201.0,0.5,5,300,0,0,41.5,False
201.0,0.5,6,-1,-1,1,34.625,False
204.0,0.5,0,-1,-1,1,25.5,False
204.0,0.5,1,-1,-1,1,28.25,False
204.0,0.5,2,-1,-1,1,37.0,False
204.0,0.5,3,-1,-1,1,35.0,False
204.0,0.5,4,300,0,0,41.875,False
204.0,0.5,5,-1,-1,1,39.0,False
204.0,0.5,6,-1,-1,1,32.125,False
207.0,0.5,0,300,0,0,40.5,False
207.0,0.5,1,-1,-1,1,25.75,False
207.0,0.5,2,-1,-1,1,34.5,False
207.0,0.5,3,-1,-1,1,32.5,False
207.0,0.5,4,-1,-1,1,39.375,False
207.0,0.5,5,-1,-1,1,36.5,False
207.0,0.5,6,-1,-1,1,29.625,False
210.0,0.5,0,-1,-1,1,38.0,False
210.0,0.5,1,300,0,0,40.75,False
210.0,0.5,2,-1,-1,1,32.0,False
210.0,0.5,3,-1,-1,1,30.0,False
210.0,0.5,4,-1,-1,1,36.875,False
210.0,0.5,5,-1,-1,1,34.0,False
210.0,0.5,6,-1,-1,1,27.125,False
213.0,0.5,0,-1,-1,1,35.5,False
213.0,0.5,1,-1,-1,1,38.25,False
213.0,0.5,2,-1,-1,1,29.5,False
213.0,0.5,3,-1,-1,1,27.5,False
213.0,0.5,4,-1,-1,1,34.375,False
213.0,0.5,5,-1,-1,1,31.5,False
213.0,0.5,6,300,0,0,42.125,False
216.0,0.5,0,-1,-1,1,33.0,False
216.0,0.5,1,-1,-1,1,35.75,False
216.0,0.5,2,-1,-1,1,27.0,False
216.0,0.5,3,300,0,0,42.5,False
